ID	NAME	SEX	COLOR	DATE_OF_BIRTH	WEIGHT	TRAINER	OWNER	BREEDER	FATHER_ID	MOTHER_ID
54	HORSE 54	gelding	Bay	31/12/2006	57	229925	258101	783985		
55	HORSE 55	stallion	Bay	31/12/2006	57	186043	656636	432580		
56	HORSE 56	stallion	Bay	31/12/2006	57	698906	695680	226856		
57	HORSE 57	gelding	Bay	31/12/2006	57	984187	939115	850004		
58	HORSE 58	stallion	Bay	31/12/2006	57	698906	986171	809715		
59	HORSE 59	gelding	Chestnut	31/12/2006	57	111456	481803	887289		
60	HORSE 60	stallion	Bay	31/12/2006	57	111456	735405	511969		
61	HORSE 61	stallion	Bay	31/12/2006	57	186043	677945	490777		
62	HORSE 62	stallion	Bay	31/12/2006	57	402319	748252	564001		
63	HORSE 63	stallion	Bay	31/12/2006	57	111456	481803	887289		
64	HORSE 64	stallion	Bay	31/12/2006	57	907587	258101	953421		
65	HORSE 65	stallion	Bay	31/12/2006	57	111456	210837	235179		
66	HORSE 66	gelding	Bay	31/12/2006	57	169863	420502	937960		
67	HORSE 67	stallion	Bay	31/12/2006	57	186043	496517	235179		
68	HORSE 68	mare	Bay	31/12/2006	57	907587	986171	564001		
69	HORSE 69	mare	Bay	31/12/2006	57	248180	716834	919683		
70	HORSE 70	stallion	Bay	31/12/2006	57	850351	501470	419867		
71	HORSE 71	gelding	Bay	31/12/2006	57	248180	739421	159400		
72	HORSE 72	gelding	Bay	31/12/2006	57	619083	986171	511969		
73	HORSE 73	gelding	Bay	31/12/2006	57	111456	835956	726271		
74	HORSE 74	gelding	Bay	31/12/2006	57	787143	748252	887289		
75	HORSE 75	gelding	Grey	31/12/2006	57	840368	695680	768980		
76	HORSE 76	mare	Bay	31/12/2006	57	537261	392366	140528		
77	HORSE 77	stallion	Bay	31/12/2006	57	787143	859810	991279		
78	HORSE 78	stallion	Bay	31/12/2006	57	272864	375266	285384		
79	HORSE 79	gelding	Bay	31/12/2006	57	787143	243172	490857		
80	HORSE 80	gelding	Bay	31/12/2006	57	790516	520032	285384		
81	HORSE 81	gelding	Bay	31/12/2006	57	938012	723652	258536		
82	HORSE 82	gelding	Chestnut	31/12/2006	57	931212	561880	850004		
83	HORSE 83	gelding	Bay	31/12/2006	57	642314	925397	432580		
84	HORSE 84	gelding	Chestnut	31/12/2006	57	412000	223438	264918		
85	HORSE 85	stallion	Bay	31/12/2006	57	730939	496517	953421		
86	HORSE 86	gelding	Grey	31/12/2006	57	509388	739421	850004		
87	HORSE 87	gelding	Bay	31/12/2006	57	248180	876916	310023		
88	HORSE 88	stallion	Chestnut	31/12/2006	57	440714	677945	317751		
89	HORSE 89	gelding	Bay	21/12/2007	57	787143	992432	267173		
90	HORSE 90	stallion	Bay	31/12/2006	57	341281	193263	984177		
91	HORSE 91	stallion	Bay	31/12/2007	57	151200	859810	919683		
92	HORSE 92	gelding	Chestnut	31/12/2007	57	931212	656636	937960		
93	HORSE 93	gelding	Bay	31/12/2007	57	121976	229726	285384		
94	HORSE 94	gelding	Chestnut	31/12/2007	57	269418	294991	226856		
95	HORSE 95	mare	Bay	31/12/2006	57	111456	243172	285968		
96	HORSE 96	stallion	Bay	31/12/2006	57	402319	735405	490777		
97	HORSE 97	gelding	Bay	31/12/2006	57	537261	302886	872641		
98	HORSE 98	gelding	Bay	31/12/2006	57	783531	629695	403018		
99	HORSE 99	gelding	Chestnut	31/12/2006	57	938012	880749	490857		
100	HORSE 100	gelding	Bay	31/12/2007	57	509388	233786	478841		
101	HORSE 101	gelding	Bay	31/12/2007	57	509388	735405	809715	16	69
102	HORSE 102	gelding	Chestnut	31/12/2006	57	111456	258101	315639	255	574
103	HORSE 103	gelding	Bay	31/12/2007	57	642314	735405	226856	643	549
104	HORSE 104	stallion	Chestnut	31/12/2006	57	880432	258101	919877	55	14
105	HORSE 105	gelding	Grey	31/12/2006	57	249592	561880	624569	21	95
106	HORSE 106	mare	Bay	31/12/2006	57	341281	939115	809715	128	574
107	HORSE 107	gelding	Grey	31/12/2006	57	782336	274578	575171	247	1124
108	HORSE 108	gelding	Chestnut	31/12/2007	57	402319	211292	226856	656	124
109	HORSE 109	gelding	Bay	31/12/2006	57	248180	586385	665714	785	837
110	HORSE 110	stallion	Chestnut	31/12/2007	57	440714	273210	456495	166	633
111	HORSE 111	stallion	Bay	31/12/2007	57	748043	276590	478841	163	398
112	HORSE 112	gelding	Bay	31/12/2007	57	341281	739421	419867	91	69
113	HORSE 113	gelding	Black	31/12/2006	57	938012	937950	623536	367	437
114	HORSE 114	stallion	Bay	31/12/2007	57	186798	561880	315639	131	444
115	HORSE 115	gelding	Bay	31/12/2006	57	228927	148999	478841	163	609
116	HORSE 116	gelding	Bay	31/12/2006	57	341281	258101	263050	166	398
117	HORSE 117	stallion	Grey	31/12/2006	57	111456	110423	136592	63	14
118	HORSE 118	stallion	Chestnut	31/12/2006	57	726784	992432	953421	597	804
119	HORSE 119	mare	Bay	31/12/2006	57	111456	902032	872641	135	437
120	HORSE 120	mare	Bay	31/12/2006	57	790516	735319	809715	268	974
121	HORSE 121	mare	Bay	31/12/2006	57	111456	179799	189435	46	29
122	HORSE 122	gelding	Bay	31/12/2007	57	896765	748252	263050	564	721
123	HORSE 123	stallion	Bay	31/12/2006	57	186798	561880	315639	785	1124
124	HORSE 124	mare	Bay	31/12/2006	57	840368	735319	953421	27	37
125	HORSE 125	gelding	Bay	31/12/2007	57	151200	258101	456495	336	651
126	HORSE 126	stallion	Bay	31/12/2006	57	825637	211292	511969	910	398
127	HORSE 127	stallion	Bay	31/12/2007	57	249592	422195	314933	202	391
128	HORSE 128	stallion	Chestnut	31/12/2007	57	931212	656636	937960	30	68
129	HORSE 129	gelding	Chestnut	31/12/2006	57	341281	375266	432580	43	2
130	HORSE 130	stallion	Bay	31/12/2006	57	341281	717172	285384	847	974
131	HORSE 131	stallion	Bay	31/12/2006	57	212872	422195	159400	24	29
132	HORSE 132	gelding	Bay	31/12/2006	57	341281	302886	315639	499	888
133	HORSE 133	stallion	Bay	31/12/2007	57	186798	179799	315639	656	804
134	HORSE 134	gelding	Bay	31/12/2006	57	580445	522666	490777	785	437
135	HORSE 135	stallion	Bay	31/12/2006	57	402319	748252	564001	31	37
136	HORSE 136	stallion	Bay	31/12/2007	57	151200	376329	726271	499	416
137	HORSE 137	gelding	Chestnut	31/12/2007	57	341281	258101	263050	843	574
138	HORSE 138	gelding	Bay	31/12/2007	57	978375	561880	955819	418	668
139	HORSE 139	gelding	Bay	31/12/2007	57	186043	513414	263050	781	888
140	HORSE 140	gelding	Bay	31/12/2007	57	173571	375266	783985	197	124
141	HORSE 141	stallion	Bay	31/12/2007	57	229925	789914	159400	967	651
142	HORSE 142	stallion	Bay	31/12/2007	57	402319	110423	991279	967	988
143	HORSE 143	gelding	Chestnut	31/12/2006	57	111456	481803	887289	614	189
144	HORSE 144	gelding	Bay	31/12/2007	57	186043	385812	919877	847	837
145	HORSE 145	stallion	Bay	31/12/2007	57	173571	274578	564001	928	755
146	HORSE 146	gelding	Chestnut	31/12/2006	57	341281	382923	490857	255	974
147	HORSE 147	gelding	Bay	31/12/2006	57	787143	961308	263050	615	549
148	HORSE 148	gelding	Bay	31/12/2006	57	931212	179799	850004	166	593
149	HORSE 149	gelding	Chestnut	31/12/2006	57	341281	258101	263050	321	189
150	HORSE 150	stallion	Bay	31/12/2006	57	114366	655993	264918	930	447
151	HORSE 151	stallion	Chestnut	31/12/2006	57	402319	748252	564001	9	29
152	HORSE 152	mare	Bay	31/12/2007	57	693551	999598	809715	643	888
153	HORSE 153	gelding	Bay	31/12/2007	57	341281	716834	264918	335	755
154	HORSE 154	gelding	Bay	31/12/2007	57	412000	734747	490857	403	668
155	HORSE 155	stallion	Chestnut	31/12/2006	57	341281	961308	853005	918	988
156	HORSE 156	stallion	Chestnut	31/12/2007	57	539827	883920	263050	908	391
157	HORSE 157	gelding	Chestnut	31/12/2007	57	341281	375266	432580	843	391
158	HORSE 158	stallion	Chestnut	31/12/2007	57	114366	735405	540108	477	447
159	HORSE 159	stallion	Bay	31/12/2006	57	114366	747659	623536	128	437
160	HORSE 160	stallion	Bay	31/12/2006	57	440714	789914	768980	335	121
161	HORSE 161	mare	Bay	31/12/2007	57	787143	250163	540108	128	721
162	HORSE 162	gelding	Chestnut	31/12/2007	57	509388	528423	310023	547	755
163	HORSE 163	stallion	Bay	31/12/2007	57	186798	986171	264918	48	76
164	HORSE 164	gelding	Bay	31/12/2007	57	539827	883920	263050	643	803
165	HORSE 165	stallion	Bay	31/12/2007	57	698805	734747	285968	19	29
166	HORSE 166	stallion	Bay	31/12/2007	57	726784	122018	991279	21	68
167	HORSE 167	stallion	Bay	31/12/2006	57	580445	375266	140528	684	124
168	HORSE 168	gelding	Bay	31/12/2006	57	111456	735405	511969	151	988
169	HORSE 169	stallion	Chestnut	31/12/2007	57	693551	546872	872641	641	609
170	HORSE 170	gelding	Bay	31/12/2007	57	121976	258101	387587	1117	437
171	HORSE 171	gelding	Chestnut	31/12/2007	57	121976	265345	403018	656	721
172	HORSE 172	gelding	Bay	31/12/2006	57	402319	385812	624569	1117	447
173	HORSE 173	gelding	Bay	31/12/2006	57	173571	695680	490777	477	124
174	HORSE 174	gelding	Bay	31/12/2007	57	748043	274578	456495	967	755
175	HORSE 175	gelding	Bay	31/12/2007	57	698805	684988	159400	60	69
176	HORSE 176	gelding	Chestnut	31/12/2006	57	907758	410095	317751	496	988
177	HORSE 177	mare	Grey	31/12/2006	57	619083	925397	419867	597	124
178	HORSE 178	stallion	Bay	31/12/2006	57	642314	276590	991279	78	2
179	HORSE 179	stallion	Bay	31/12/2007	57	440714	302886	540108	967	668
180	HORSE 180	gelding	Bay	31/12/2006	57	984187	438792	689553	151	593
181	HORSE 181	stallion	Chestnut	31/12/2007	57	787143	258101	564001	367	804
182	HORSE 182	gelding	Bay	31/12/2007	57	114366	223438	264918	564	974
183	HORSE 183	gelding	Bay	31/12/2006	57	249592	561880	624569	477	398
184	HORSE 184	gelding	Grey	31/12/2006	57	698906	110423	872641	656	974
185	HORSE 185	gelding	Bay	31/12/2006	57	698906	258101	235179	386	121
186	HORSE 186	gelding	Bay	31/12/2007	57	440714	546872	255015	547	121
187	HORSE 187	stallion	Bay	31/12/2007	57	114366	223438	264918	728	609
188	HORSE 188	stallion	Chestnut	31/12/2007	57	787143	243172	490857	128	804
189	HORSE 189	mare	Bay	31/12/2007	57	907758	677945	919877	18	23
190	HORSE 190	stallion	Bay	31/12/2006	57	698906	695680	226856	928	398
191	HORSE 191	stallion	Bay	31/12/2007	57	938012	122018	809715	70	23
192	HORSE 192	gelding	Chestnut	31/12/2007	57	111456	481803	887289	426	593
193	HORSE 193	stallion	Chestnut	31/12/2007	57	248180	520032	490857	991	549
194	HORSE 194	stallion	Bay	31/12/2007	57	726784	522666	955819	191	124
195	HORSE 195	stallion	Bay	31/12/2006	57	726784	394723	665714	418	799
196	HORSE 196	gelding	Bay	31/12/2007	57	618285	245733	872641	1003	121
197	HORSE 197	stallion	Bay	31/12/2007	57	938012	902032	540108	19	29
198	HORSE 198	stallion	Bay	31/12/2007	57	111456	481803	887289	31	37
199	HORSE 199	gelding	Bay	31/12/2007	57	938012	937950	623536	43	14
200	HORSE 200	gelding	Chestnut	31/12/2006	57	787143	243172	490857	793	444
201	HORSE 201	stallion	Chestnut	31/12/2007	57	402319	748252	564001	944	668
202	HORSE 202	stallion	Grey	31/12/2007	57	619083	854519	310023	11	69
203	HORSE 203	gelding	Bay	31/12/2007	57	440714	999598	189435	547	189
204	HORSE 204	gelding	Bay	31/12/2007	57	212872	546872	387587	918	593
205	HORSE 205	gelding	Bay	31/12/2007	57	938012	937950	623536	1117	804
206	HORSE 206	gelding	Chestnut	31/12/2007	57	726784	786091	564001	386	888
207	HORSE 207	gelding	Chestnut	31/12/2006	57	931212	716933	159400	290	964
208	HORSE 208	stallion	Bay	31/12/2007	57	991002	229726	255015	607	837
209	HORSE 209	gelding	Bay	31/12/2007	57	619083	735405	189435	16	4
210	HORSE 210	stallion	Chestnut	31/12/2007	57	509388	211292	403018	335	189
211	HORSE 211	stallion	Bay	31/12/2007	57	615135	586385	624569	928	964
212	HORSE 212	stallion	Bay	31/12/2007	57	580445	392366	258536	117	593
213	HORSE 213	gelding	Bay	31/12/2006	57	412000	925397	919683	656	447
214	HORSE 214	stallion	Bay	31/12/2007	57	111456	876916	809715	151	609
215	HORSE 215	stallion	Bay	31/12/2006	57	787143	546872	314933	290	974
216	HORSE 216	gelding	Bay	31/12/2006	57	111456	735405	511969	90	14
217	HORSE 217	stallion	Bay	31/12/2007	57	726784	586385	159400	191	668
218	HORSE 218	stallion	Bay	31/12/2006	57	825637	385812	140528	623	398
219	HORSE 219	gelding	Bay	31/12/2007	57	509388	528423	310023	191	804
220	HORSE 220	gelding	Bay	31/12/2007	57	111456	464769	872641	78	36
221	HORSE 221	gelding	Bay	31/12/2007	57	726784	546872	105807	635	251
222	HORSE 222	stallion	Bay	31/12/2007	57	537261	258101	693484	643	593
223	HORSE 223	stallion	Bay	31/12/2006	57	748043	274578	456495	424	1124
224	HORSE 224	mare	Bay	31/12/2007	57	790516	520032	285384	279	964
225	HORSE 225	stallion	Bay	31/12/2006	57	351713	258101	264918	406	391
226	HORSE 226	gelding	Bay	31/12/2007	57	787143	375266	853005	967	799
227	HORSE 227	gelding	Chestnut	31/12/2007	57	341281	794992	511969	178	1124
228	HORSE 228	gelding	Bay	31/12/2007	57	341281	854519	575171	1128	189
229	HORSE 229	gelding	Chestnut	31/12/2007	57	642314	925397	432580	247	799
230	HORSE 230	stallion	Chestnut	31/12/2007	57	121976	258101	387587	268	609
231	HORSE 231	stallion	Chestnut	31/12/2007	57	248180	258101	887289	418	124
232	HORSE 232	stallion	Bay	31/12/2007	57	726784	546872	105807	530	803
233	HORSE 233	mare	Bay	31/12/2008	57	537261	735319	919683	1003	651
234	HORSE 234	stallion	Bay	31/12/2007	57	186798	561880	315639	520	251
235	HORSE 235	gelding	Chestnut	31/12/2006	57	186798	385812	937960	356	574
236	HORSE 236	stallion	Grey	31/12/2006	57	169863	513414	235179	60	69
237	HORSE 237	mare	Grey	31/12/2007	57	782336	274578	575171	781	609
238	HORSE 238	stallion	Chestnut	31/12/2006	57	726784	992432	953421	1080	549
239	HORSE 239	gelding	Chestnut	31/12/2007	57	341281	376329	456495	163	964
240	HORSE 240	gelding	Bay	31/12/2007	57	111456	735405	511969	356	633
241	HORSE 241	gelding	Chestnut	31/12/2007	57	229925	734747	937960	851	651
242	HORSE 242	gelding	Bay	31/12/2007	57	537261	716933	768980	847	633
243	HORSE 243	stallion	Bay	31/12/2008	57	509388	233786	478841	1117	251
244	HORSE 244	stallion	Bay	31/12/2007	57	787143	382923	919877	165	837
245	HORSE 245	gelding	Bay	31/12/2007	57	173571	446718	991279	247	804
246	HORSE 246	gelding	Chestnut	31/12/2007	57	341281	243172	235179	202	124
247	HORSE 247	stallion	Bay	31/12/2006	57	111456	329315	490857	55	14
248	HORSE 248	stallion	Chestnut	31/12/2008	57	642314	250163	919877	1117	837
249	HORSE 249	mare	Bay	31/12/2008	57	114366	223438	264918	1119	721
250	HORSE 250	gelding	Bay	31/12/2007	57	896765	716933	955819	356	609
251	HORSE 251	mare	Grey	31/12/2008	57	840368	999598	432580	56	76
252	HORSE 252	stallion	Bay	31/12/2007	57	787143	496517	255015	166	609
253	HORSE 253	stallion	Bay	31/12/2007	57	642314	276590	991279	131	398
254	HORSE 254	stallion	Bay	31/12/2007	57	248180	992432	490857	604	574
255	HORSE 255	stallion	Bay	31/12/2006	57	248180	223438	726271	48	95
256	HORSE 256	gelding	Bay	31/12/2006	57	186043	786091	887289	635	437
257	HORSE 257	stallion	Grey	31/12/2007	57	748043	381510	693484	764	1124
258	HORSE 258	stallion	Chestnut	31/12/2007	57	114366	179799	226856	20	69
259	HORSE 259	stallion	Chestnut	31/12/2006	57	104125	695680	310023	151	398
260	HORSE 260	gelding	Bay	31/12/2007	57	509388	735405	809715	1128	668
261	HORSE 261	gelding	Bay	31/12/2008	57	931212	522666	726271	406	549
262	HORSE 262	gelding	Chestnut	31/12/2007	57	249592	669444	809715	944	121
263	HORSE 263	stallion	Bay	31/12/2008	57	984187	305090	387587	614	804
264	HORSE 264	gelding	Bay	31/12/2007	57	248180	656636	768980	279	888
265	HORSE 265	gelding	Chestnut	31/12/2007	57	111456	481803	887289	614	1124
266	HORSE 266	gelding	Bay	31/12/2007	57	272864	999598	693484	78	14
267	HORSE 267	gelding	Bay	31/12/2008	57	509388	746195	853005	117	964
268	HORSE 268	stallion	Bay	31/12/2006	57	938012	723652	258536	49	29
269	HORSE 269	gelding	Chestnut	31/12/2007	57	186798	438792	136592	1080	964
270	HORSE 270	gelding	Bay	31/12/2007	57	212872	669444	511969	764	121
271	HORSE 271	gelding	Bay	31/12/2007	57	333823	735405	387587	991	593
272	HORSE 272	stallion	Bay	31/12/2007	57	698906	986171	809715	477	633
273	HORSE 273	gelding	Bay	31/12/2007	57	993930	376329	540108	40	23
274	HORSE 274	mare	Bay	31/12/2008	57	748043	528423	226856	135	1124
275	HORSE 275	stallion	Bay	31/12/2007	57	698906	735405	315639	793	189
276	HORSE 276	mare	Bay	31/12/2007	57	402319	735405	490777	623	755
277	HORSE 277	gelding	Bay	31/12/2006	57	402319	735405	490777	928	121
278	HORSE 278	gelding	Bay	31/12/2007	57	412000	561880	226856	1080	633
279	HORSE 279	stallion	Bay	31/12/2006	57	440714	302886	540108	58	95
280	HORSE 280	stallion	Bay	31/12/2008	57	269418	528423	726271	258	1124
281	HORSE 281	stallion	Chestnut	31/12/2007	57	111456	481803	887289	597	574
282	HORSE 282	gelding	Bay	31/12/2007	57	341281	376329	456495	547	651
283	HORSE 283	stallion	Bay	31/12/2008	57	682880	734747	263050	722	574
284	HORSE 284	stallion	Bay	31/12/2008	57	978375	561880	955819	236	189
285	HORSE 285	mare	Bay	31/12/2008	57	931212	835956	419867	1119	574
286	HORSE 286	stallion	Bay	31/12/2008	57	269418	528423	726271	131	803
287	HORSE 287	mare	Bay	31/12/2008	57	580445	811925	258536	908	124
288	HORSE 288	gelding	Chestnut	31/12/2008	57	938012	937950	623536	641	416
289	HORSE 289	gelding	Bay	31/12/2007	57	412000	811925	726271	764	804
290	HORSE 290	stallion	Bay	31/12/2006	57	412000	746195	575171	31	23
291	HORSE 291	gelding	Bay	31/12/2007	57	619083	293942	991279	236	121
292	HORSE 292	gelding	Bay	31/12/2007	57	412000	939115	953421	85	44
293	HORSE 293	gelding	Chestnut	31/12/2008	57	748043	731878	511969	547	803
294	HORSE 294	gelding	Grey	31/12/2006	57	509388	241616	490777	163	803
295	HORSE 295	stallion	Bay	31/12/2007	57	212872	597708	456495	386	803
296	HORSE 296	stallion	Bay	31/12/2007	57	114366	707274	317751	839	416
297	HORSE 297	gelding	Bay	31/12/2006	57	984187	362937	432580	19	44
298	HORSE 298	stallion	Bay	31/12/2006	57	782336	496517	226856	890	974
299	HORSE 299	mare	Bay	31/12/2007	57	726784	735319	456495	530	964
300	HORSE 300	stallion	Chestnut	31/12/2006	57	537261	721416	850004	614	651
301	HORSE 301	gelding	Chestnut	31/12/2007	57	111456	925397	887289	91	4
302	HORSE 302	gelding	Chestnut	31/12/2007	57	850351	265345	853005	722	124
303	HORSE 303	gelding	Bay	31/12/2007	57	229925	258101	783985	604	799
304	HORSE 304	stallion	Chestnut	31/12/2006	57	402319	258101	310023	684	1124
305	HORSE 305	gelding	Bay	31/12/2008	57	249592	422195	314933	496	651
306	HORSE 306	stallion	Bay	31/12/2007	57	619083	937950	456495	178	799
307	HORSE 307	stallion	Bay	31/12/2007	57	248180	483976	403018	65	2
308	HORSE 308	stallion	Bay	31/12/2007	57	121976	258101	387587	255	633
309	HORSE 309	stallion	Bay	31/12/2006	57	984187	243172	255015	191	1124
310	HORSE 310	gelding	Bay	31/12/2007	57	186043	294991	689553	104	437
311	HORSE 311	mare	Brown	31/12/2007	57	787143	422195	105807	623	609
312	HORSE 312	gelding	Bay	31/12/2008	57	787143	302886	726271	930	721
313	HORSE 313	gelding	Chestnut	31/12/2008	57	151200	258101	456495	104	189
314	HORSE 314	gelding	Bay	31/12/2008	57	931212	361385	267173	564	391
315	HORSE 315	gelding	Chestnut	31/12/2008	57	114366	735405	540108	597	633
316	HORSE 316	gelding	Chestnut	31/12/2007	57	783531	496517	235179	520	1124
317	HORSE 317	gelding	Bay	31/12/2008	57	121976	258101	387587	499	121
318	HORSE 318	stallion	Chestnut	31/12/2006	57	787143	859810	991279	117	416
319	HORSE 319	stallion	Bay	31/12/2006	57	782336	483976	159400	944	251
320	HORSE 320	gelding	Chestnut	31/12/2008	57	121976	258101	387587	197	447
321	HORSE 321	stallion	Bay	31/12/2007	57	111456	735405	511969	19	45
322	HORSE 322	gelding	Chestnut	31/12/2007	57	693551	329315	285968	635	1124
323	HORSE 323	gelding	Bay	31/12/2007	57	173571	392366	919683	499	988
324	HORSE 324	gelding	Bay	31/12/2008	55	509388	528423	310023	781	398
325	HORSE 325	gelding	Bay	31/12/2008	57	341281	446718	689553	131	888
326	HORSE 326	stallion	Bay	31/12/2007	57	931212	789914	317751	268	549
327	HORSE 327	gelding	Bay	31/12/2008	57	896765	293942	105807	764	799
328	HORSE 328	gelding	Chestnut	31/12/2007	57	580445	420502	267173	890	633
329	HORSE 329	stallion	Bay	31/12/2008	57	938012	446718	511969	851	416
330	HORSE 330	gelding	Bay	31/12/2008	57	341281	546872	953421	131	609
331	HORSE 331	mare	Bay	31/12/2008	57	111456	835956	726271	367	799
332	HORSE 332	stallion	Chestnut	31/12/2008	57	693551	410095	490777	1003	803
333	HORSE 333	gelding	Bay	31/12/2008	57	341281	273210	267173	70	37
334	HORSE 334	gelding	Bay	31/12/2008	57	989464	811925	623536	781	988
335	HORSE 335	stallion	Grey	31/12/2007	57	896765	717172	984177	90	2
336	HORSE 336	stallion	Chestnut	31/12/2007	57	248180	629695	693484	18	8
337	HORSE 337	gelding	Chestnut	31/12/2008	57	642314	522666	575171	991	416
338	HORSE 338	gelding	Bay	31/12/2007	57	782336	229726	419867	321	755
339	HORSE 339	stallion	Bay	31/12/2008	57	254734	229726	809715	279	416
340	HORSE 340	gelding	Bay	31/12/2008	57	248180	854519	285384	367	444
341	HORSE 341	gelding	Bay	31/12/2007	57	111456	735405	511969	928	803
342	HORSE 342	gelding	Bay	31/12/2007	57	333823	735405	387587	307	121
343	HORSE 343	gelding	Bay	31/12/2008	57	111456	902032	872641	839	444
344	HORSE 344	mare	Bay	31/12/2006	57	642314	925397	432580	615	721
345	HORSE 345	stallion	Bay	31/12/2006	57	698906	241616	140528	930	124
346	HORSE 346	stallion	Chestnut	31/12/2007	57	121976	707274	387587	128	837
347	HORSE 347	stallion	Chestnut	31/12/2007	57	618285	656636	783985	321	803
348	HORSE 348	gelding	Grey	31/12/2007	57	412000	294991	478841	418	721
349	HORSE 349	gelding	Grey	31/12/2007	57	249592	561880	624569	722	447
350	HORSE 350	gelding	Bay	31/12/2007	57	111456	481803	887289	843	593
351	HORSE 351	stallion	Bay	31/12/2008	57	748043	528423	226856	1080	888
352	HORSE 352	stallion	Bay	31/12/2007	57	984187	939115	850004	151	444
353	HORSE 353	gelding	Bay	31/12/2008	57	186043	561880	314933	268	721
354	HORSE 354	mare	Bay	31/12/2008	57	580445	276590	919877	530	398
355	HORSE 355	stallion	Chestnut	31/12/2008	57	698805	656636	991279	991	755
356	HORSE 356	stallion	Chestnut	31/12/2008	57	787143	528423	310023	51	23
357	HORSE 357	gelding	Bay	31/12/2006	57	790516	520032	285384	851	121
358	HORSE 358	gelding	Bay	31/12/2007	57	249592	561880	624569	910	391
359	HORSE 359	stallion	Chestnut	31/12/2007	57	240594	501470	419867	635	799
