MEETING_DATE	RACE_TIME	HORSE	JOCKEY	TRAINER	START_POS	FINISH_POS
22/1/2010	14:00:00	396	478532	526023	7	6
22/1/2010	14:00:00	100	735781	653975	4	3
22/1/2010	14:00:00	616	820223	984187	8	7
22/1/2010	14:00:00	625	378560	705133	3	2
22/1/2010	14:00:00	794	747591	580445	6	5
22/1/2010	14:00:00	1126	666141	455628	1	8
22/1/2010	15:00:00	142	946049	299505	8	7
22/1/2010	15:00:00	267	173454	698805	1	8
22/1/2010	15:00:00	307	338616	977118	4	3
22/1/2010	15:00:00	500	229550	173571	5	4
22/1/2010	15:00:00	516	100466	850941	7	6
22/1/2010	15:00:00	903	393081	111456	3	2
22/1/2010	15:00:00	1027	571194	709977	6	5
22/1/2010	15:00:00	1055	243611	114366	2	1
22/1/2010	16:00:00	41	785010	547811	1	8
22/1/2010	16:00:00	297	310343	248180	2	1
22/1/2010	16:00:00	615	106572	877436	3	2
22/1/2010	16:00:00	638	167510	616205	6	5
22/1/2010	16:00:00	655	864023	351713	5	4
22/1/2010	16:00:00	854	832373	766033	7	6
22/1/2010	16:00:00	1008	895452	710330	4	3
22/1/2010	16:00:00	1038	237777	619083	8	7
22/1/2010	17:00:00	246	214585	314056	7	6
22/1/2010	17:00:00	265	273710	782336	3	2
22/1/2010	17:00:00	289	724043	978375	1	8
22/1/2010	17:00:00	295	677154	848045	8	7
22/1/2010	17:00:00	334	516197	989464	2	1
22/1/2010	17:00:00	385	986732	693551	4	3
22/1/2010	17:00:00	632	763901	580445	5	4
22/1/2010	17:00:00	941	750919	977118	6	5
22/1/2010	18:00:00	83	249146	496415	1	8
22/1/2010	18:00:00	263	242898	802157	4	3
22/1/2010	18:00:00	341	814306	705133	7	6
22/1/2010	18:00:00	657	214013	266989	2	1
22/1/2010	18:00:00	716	212192	824587	8	7
22/1/2010	18:00:00	745	339194	509388	5	4
22/1/2010	18:00:00	821	628058	114366	3	2
22/1/2010	18:00:00	1057	835000	169863	6	5
22/1/2010	19:00:00	307	254075	766033	3	2
22/1/2010	19:00:00	411	901878	236134	8	7
22/1/2010	19:00:00	508	700783	850941	7	6
22/1/2010	19:00:00	590	780773	473400	1	8
22/1/2010	19:00:00	869	925004	114366	6	5
22/1/2010	19:00:00	999	413027	539827	4	3
22/1/2010	19:00:00	1024	814306	991002	5	4
22/1/2010	19:00:00	1080	768421	931212	2	1
22/1/2010	20:00:00	90	666141	799046	3	2
22/1/2010	20:00:00	191	296796	328199	1	8
22/1/2010	20:00:00	236	601776	965847	4	3
22/1/2010	20:00:00	333	128084	173571	5	4
22/1/2010	20:00:00	414	747591	564312	8	7
22/1/2010	20:00:00	742	864023	111456	6	5
22/1/2010	20:00:00	1047	310343	709977	2	1
22/1/2010	20:00:00	1103	459165	173571	7	6
29/1/2010	11:00:00	111	387682	539827	5	6
29/1/2010	11:00:00	136	832373	619083	8	1
29/1/2010	11:00:00	422	492404	537261	3	4
29/1/2010	11:00:00	542	624393	236134	4	5
29/1/2010	11:00:00	784	183574	790516	1	2
29/1/2010	11:00:00	804	180808	450417	7	8
29/1/2010	11:00:00	1029	428437	472604	2	3
29/1/2010	11:00:00	1053	628058	824587	6	7
29/1/2010	12:00:00	388	254075	496415	4	5
29/1/2010	12:00:00	450	413027	825637	5	6
29/1/2010	12:00:00	532	419526	710330	7	8
29/1/2010	12:00:00	537	298350	305248	2	3
29/1/2010	12:00:00	543	590266	978375	8	1
29/1/2010	12:00:00	772	780773	151200	3	4
29/1/2010	12:00:00	1030	412829	240594	1	2
29/1/2010	12:00:00	1108	493047	197858	6	7
29/1/2010	13:00:00	40	387682	212872	3	4
29/1/2010	13:00:00	93	747323	406168	8	1
29/1/2010	13:00:00	252	862404	850351	2	3
29/1/2010	13:00:00	417	628058	431657	5	6
29/1/2010	13:00:00	425	113233	705133	1	2
29/1/2010	13:00:00	522	245386	850351	6	7
29/1/2010	13:00:00	566	298350	765741	7	8
29/1/2010	13:00:00	694	889237	759358	4	5
29/1/2010	14:00:00	68	666141	619083	2	3
29/1/2010	14:00:00	170	780773	114366	6	7
29/1/2010	14:00:00	284	234861	928043	3	4
29/1/2010	14:00:00	100	785010	255332	7	8
29/1/2010	14:00:00	727	382899	718092	5	6
29/1/2010	14:00:00	764	760890	759358	1	2
29/1/2010	14:00:00	992	612043	530075	4	5
29/1/2010	14:00:00	1087	700783	968489	8	1
29/1/2010	15:00:00	102	602021	314056	4	5
29/1/2010	15:00:00	227	800935	496415	6	7
29/1/2010	15:00:00	567	677154	567635	2	3
29/1/2010	15:00:00	615	889237	465603	7	8
29/1/2010	15:00:00	639	356338	145055	3	4
29/1/2010	15:00:00	727	464108	940415	8	1
29/1/2010	15:00:00	878	747323	406168	5	6
29/1/2010	15:00:00	1095	446912	580445	1	2
29/1/2010	16:00:00	57	120700	138405	6	7
29/1/2010	16:00:00	105	590266	431657	2	3
29/1/2010	16:00:00	688	747323	261170	1	2
29/1/2010	16:00:00	732	303998	400612	3	4
29/1/2010	16:00:00	823	378560	765741	5	6
29/1/2010	16:00:00	906	629915	759358	7	8
29/1/2010	16:00:00	1020	763901	277644	4	5
29/1/2010	16:00:00	1035	800935	440714	8	1
29/1/2010	17:00:00	135	395271	727326	4	5
29/1/2010	17:00:00	176	378560	259625	7	8
29/1/2010	17:00:00	300	492404	740142	6	7
29/1/2010	17:00:00	317	413027	530075	1	2
29/1/2010	17:00:00	554	329527	616205	2	3
29/1/2010	17:00:00	747	658563	333823	8	1
29/1/2010	17:00:00	994	880925	537261	3	4
29/1/2010	17:00:00	1064	298350	277644	5	6
29/1/2010	18:00:00	70	955657	241875	7	8
29/1/2010	18:00:00	128	454372	186043	4	5
29/1/2010	18:00:00	229	310343	104125	8	1
29/1/2010	18:00:00	404	915247	761594	5	6
29/1/2010	18:00:00	471	100466	242451	6	7
29/1/2010	18:00:00	642	356338	790516	2	3
29/1/2010	18:00:00	647	800995	351713	1	2
29/1/2010	18:00:00	1008	395516	406168	3	4
29/1/2010	19:00:00	136	957160	283978	5	6
29/1/2010	19:00:00	244	409562	787143	1	2
29/1/2010	19:00:00	803	319304	977118	3	4
29/1/2010	19:00:00	851	249146	351713	7	8
29/1/2010	19:00:00	898	254075	400612	2	3
29/1/2010	19:00:00	983	862404	186798	8	1
29/1/2010	19:00:00	1116	901878	228927	6	7
29/1/2010	19:00:00	1121	407465	131132	4	5
29/1/2010	20:00:00	29	803614	496415	1	2
29/1/2010	20:00:00	181	378560	138405	6	7
29/1/2010	20:00:00	371	388544	765741	4	5
29/1/2010	20:00:00	554	677154	682880	8	1
29/1/2010	20:00:00	788	620911	802157	7	8
29/1/2010	20:00:00	894	277465	241875	3	4
29/1/2010	20:00:00	895	457667	228927	5	6
29/1/2010	20:00:00	1022	310343	647001	2	3
