DATE	TIME	TYPE	FIELD	DISTANCE	PRIZE_1	PRIZE_2	PRIZE_3
5/2/2010	13:00:00	Other	Other	1200	5000	2000	1000
5/2/2010	14:00:00	Other	Other	1600	5000	2000	1000
5/2/2010	15:00:00	Cup	Grass	1600	5000	2000	1000
5/2/2010	16:00:00	Other	Synthetic	2000	5000	2000	1000
5/2/2010	17:00:00	Simple	Grass	2000	5000	2000	1000
5/2/2010	18:00:00	Simple	Sand	1800	5000	2000	1000
5/2/2010	19:00:00	Other	Synthetic	1200	5000	2000	1000
5/2/2010	20:00:00	Other	Sand	1800	5000	2000	1000
12/2/2010	11:00:00	Simple	Other	1200	5000	2000	1000
12/2/2010	12:00:00	Cup	Grass	1400	5000	2000	1000
12/2/2010	13:00:00	Other	Other	1600	5000	2000	1000
12/2/2010	14:00:00	Other	Grass	1800	5000	2000	1000
12/2/2010	15:00:00	Cup	Other	1200	5000	2000	1000
12/2/2010	16:00:00	Simple	Other	1400	5000	2000	1000
12/2/2010	17:00:00	Cup	Other	1200	5000	2000	1000
12/2/2010	18:00:00	Simple	Other	1200	5000	2000	1000
12/2/2010	19:00:00	Cup	Grass	1400	5000	2000	1000
12/2/2010	20:00:00	Simple	Other	1600	5000	2000	1000
19/2/2010	11:00:00	Simple	Other	2000	5000	2000	1000
19/2/2010	12:00:00	Cup	Sand	2000	5000	2000	1000
19/2/2010	13:00:00	Other	Other	1400	5000	2000	1000
19/2/2010	14:00:00	Simple	Other	1600	5000	2000	1000
19/2/2010	15:00:00	Other	Other	1200	5000	2000	1000
19/2/2010	16:00:00	Simple	Synthetic	1200	5000	2000	1000
19/2/2010	17:00:00	Simple	Grass	1800	5000	2000	1000
19/2/2010	18:00:00	Simple	Grass	2000	5000	2000	1000
19/2/2010	19:00:00	Simple	Grass	1200	5000	2000	1000
19/2/2010	20:00:00	Cup	Other	1800	5000	2000	1000
26/2/2010	11:00:00	Other	Other	1200	5000	2000	1000
26/2/2010	12:00:00	Simple	Synthetic	1800	5000	2000	1000
26/2/2010	13:00:00	Cup	Other	1400	5000	2000	1000
26/2/2010	14:00:00	Simple	Synthetic	1200	5000	2000	1000
26/2/2010	15:00:00	Other	Other	1600	5000	2000	1000
26/2/2010	16:00:00	Simple	Grass	1600	5000	2000	1000
26/2/2010	17:00:00	Other	Synthetic	2000	5000	2000	1000
26/2/2010	18:00:00	Other	Sand	1600	5000	2000	1000
26/2/2010	19:00:00	Simple	Synthetic	2000	5000	2000	1000
26/2/2010	20:00:00	Cup	Other	1800	5000	2000	1000
5/3/2010	11:00:00	Other	Other	1200	5000	2000	1000
5/3/2010	12:00:00	Cup	Grass	1600	5000	2000	1000
5/3/2010	13:00:00	Cup	Synthetic	2000	5000	2000	1000
5/3/2010	14:00:00	Other	Synthetic	1400	5000	2000	1000
5/3/2010	15:00:00	Other	Sand	2000	5000	2000	1000
5/3/2010	16:00:00	Other	Grass	2000	5000	2000	1000
5/3/2010	17:00:00	Cup	Grass	1400	5000	2000	1000
5/3/2010	18:00:00	Simple	Other	1400	5000	2000	1000
5/3/2010	19:00:00	Cup	Synthetic	1600	5000	2000	1000
5/3/2010	20:00:00	Simple	Synthetic	1400	5000	2000	1000
12/3/2010	11:00:00	Simple	Sand	1600	5000	2000	1000
12/3/2010	12:00:00	Simple	Grass	1600	5000	2000	1000
12/3/2010	13:00:00	Cup	Other	1600	5000	2000	1000
12/3/2010	14:00:00	Other	Grass	1800	5000	2000	1000
12/3/2010	15:00:00	Simple	Grass	1400	5000	2000	1000
12/3/2010	16:00:00	Simple	Grass	1800	5000	2000	1000
12/3/2010	17:00:00	Cup	Grass	1400	5000	2000	1000
12/3/2010	18:00:00	Other	Other	1600	5000	2000	1000
12/3/2010	19:00:00	Other	Grass	2000	5000	2000	1000
12/3/2010	20:00:00	Simple	Grass	1400	5000	2000	1000
19/3/2010	11:00:00	Other	Sand	2000	5000	2000	1000
19/3/2010	12:00:00	Other	Synthetic	2000	5000	2000	1000
19/3/2010	13:00:00	Simple	Sand	1600	5000	2000	1000
19/3/2010	14:00:00	Cup	Sand	1600	5000	2000	1000
19/3/2010	15:00:00	Simple	Other	2000	5000	2000	1000
19/3/2010	16:00:00	Cup	Grass	1800	5000	2000	1000
19/3/2010	17:00:00	Other	Other	1800	5000	2000	1000
19/3/2010	18:00:00	Other	Synthetic	1800	5000	2000	1000
19/3/2010	19:00:00	Cup	Sand	1600	5000	2000	1000
19/3/2010	20:00:00	Simple	Grass	1600	5000	2000	1000
26/3/2010	11:00:00	Cup	Synthetic	1400	5000	2000	1000
26/3/2010	12:00:00	Other	Sand	1200	5000	2000	1000
26/3/2010	13:00:00	Simple	Synthetic	2000	5000	2000	1000
26/3/2010	14:00:00	Other	Sand	1400	5000	2000	1000
26/3/2010	15:00:00	Simple	Grass	2000	5000	2000	1000
26/3/2010	16:00:00	Other	Sand	1200	5000	2000	1000
26/3/2010	17:00:00	Other	Sand	1200	5000	2000	1000
26/3/2010	18:00:00	Other	Sand	1200	5000	2000	1000
26/3/2010	19:00:00	Simple	Synthetic	1800	5000	2000	1000
26/3/2010	20:00:00	Cup	Other	1200	5000	2000	1000
2/4/2010	11:00:00	Cup	Grass	1600	5000	2000	1000
2/4/2010	12:00:00	Simple	Synthetic	2000	5000	2000	1000
2/4/2010	13:00:00	Other	Synthetic	1400	5000	2000	1000
2/4/2010	14:00:00	Simple	Grass	1600	5000	2000	1000
2/4/2010	15:00:00	Cup	Grass	2000	5000	2000	1000
2/4/2010	16:00:00	Cup	Synthetic	1600	5000	2000	1000
2/4/2010	17:00:00	Other	Sand	1400	5000	2000	1000
2/4/2010	18:00:00	Cup	Synthetic	1800	5000	2000	1000
2/4/2010	19:00:00	Cup	Grass	1200	5000	2000	1000
2/4/2010	20:00:00	Simple	Other	1200	5000	2000	1000
9/4/2010	11:00:00	Simple	Synthetic	1800	5000	2000	1000
9/4/2010	12:00:00	Simple	Synthetic	1400	5000	2000	1000
9/4/2010	13:00:00	Cup	Synthetic	1600	5000	2000	1000
9/4/2010	14:00:00	Other	Grass	1200	5000	2000	1000
9/4/2010	15:00:00	Simple	Synthetic	1600	5000	2000	1000
9/4/2010	16:00:00	Cup	Grass	1400	5000	2000	1000
9/4/2010	17:00:00	Cup	Synthetic	1200	5000	2000	1000
9/4/2010	18:00:00	Simple	Grass	1600	5000	2000	1000
9/4/2010	19:00:00	Other	Other	2000	5000	2000	1000
9/4/2010	20:00:00	Other	Synthetic	1600	5000	2000	1000
16/4/2010	11:00:00	Simple	Sand	2000	5000	2000	1000
16/4/2010	12:00:00	Other	Sand	1200	5000	2000	1000
16/4/2010	13:00:00	Cup	Grass	1400	5000	2000	1000
16/4/2010	14:00:00	Other	Grass	2000	5000	2000	1000
16/4/2010	15:00:00	Cup	Sand	1400	5000	2000	1000
16/4/2010	16:00:00	Simple	Grass	2000	5000	2000	1000
16/4/2010	17:00:00	Other	Grass	1600	5000	2000	1000
16/4/2010	18:00:00	Simple	Synthetic	1600	5000	2000	1000
16/4/2010	19:00:00	Other	Other	1400	5000	2000	1000
16/4/2010	20:00:00	Simple	Synthetic	1400	5000	2000	1000
23/4/2010	11:00:00	Cup	Grass	1800	5000	2000	1000
23/4/2010	12:00:00	Simple	Grass	2000	5000	2000	1000
23/4/2010	13:00:00	Other	Other	1600	5000	2000	1000
23/4/2010	14:00:00	Cup	Synthetic	2000	5000	2000	1000
23/4/2010	15:00:00	Simple	Grass	2000	5000	2000	1000
23/4/2010	16:00:00	Other	Other	1800	5000	2000	1000
23/4/2010	17:00:00	Cup	Synthetic	1400	5000	2000	1000
23/4/2010	18:00:00	Cup	Grass	1800	5000	2000	1000
23/4/2010	19:00:00	Other	Other	1200	5000	2000	1000
23/4/2010	20:00:00	Simple	Grass	1200	5000	2000	1000
30/4/2010	11:00:00	Simple	Other	1600	5000	2000	1000
30/4/2010	12:00:00	Simple	Grass	2000	5000	2000	1000
30/4/2010	13:00:00	Cup	Other	1600	5000	2000	1000
30/4/2010	14:00:00	Cup	Synthetic	1800	5000	2000	1000
30/4/2010	15:00:00	Other	Other	1600	5000	2000	1000
30/4/2010	16:00:00	Other	Other	1400	5000	2000	1000
30/4/2010	17:00:00	Cup	Grass	1600	5000	2000	1000
30/4/2010	18:00:00	Cup	Sand	1800	5000	2000	1000
30/4/2010	19:00:00	Other	Other	1400	5000	2000	1000
30/4/2010	20:00:00	Cup	Grass	1400	5000	2000	1000
7/5/2010	11:00:00	Cup	Synthetic	1600	5000	2000	1000
7/5/2010	12:00:00	Simple	Grass	1400	5000	2000	1000
7/5/2010	13:00:00	Other	Synthetic	1400	5000	2000	1000
7/5/2010	14:00:00	Simple	Synthetic	1200	5000	2000	1000
7/5/2010	15:00:00	Other	Grass	1600	5000	2000	1000
7/5/2010	16:00:00	Simple	Grass	1400	5000	2000	1000
7/5/2010	17:00:00	Cup	Other	1600	5000	2000	1000
7/5/2010	18:00:00	Other	Sand	1600	5000	2000	1000
7/5/2010	19:00:00	Simple	Sand	1600	5000	2000	1000
7/5/2010	20:00:00	Cup	Sand	1200	5000	2000	1000
14/5/2010	11:00:00	Simple	Grass	2000	5000	2000	1000
14/5/2010	12:00:00	Other	Sand	1200	5000	2000	1000
14/5/2010	13:00:00	Other	Sand	2000	5000	2000	1000
14/5/2010	14:00:00	Simple	Sand	1600	5000	2000	1000
14/5/2010	15:00:00	Other	Grass	1200	5000	2000	1000
14/5/2010	16:00:00	Simple	Synthetic	1200	5000	2000	1000
14/5/2010	17:00:00	Other	Other	1800	5000	2000	1000
14/5/2010	18:00:00	Simple	Sand	2000	5000	2000	1000
14/5/2010	19:00:00	Simple	Synthetic	1200	5000	2000	1000
14/5/2010	20:00:00	Other	Sand	2000	5000	2000	1000
21/5/2010	11:00:00	Other	Sand	1600	5000	2000	1000
21/5/2010	12:00:00	Other	Other	2000	5000	2000	1000
21/5/2010	13:00:00	Other	Synthetic	1600	5000	2000	1000
21/5/2010	14:00:00	Other	Sand	1800	5000	2000	1000
21/5/2010	15:00:00	Simple	Grass	1800	5000	2000	1000
21/5/2010	16:00:00	Cup	Grass	1600	5000	2000	1000
21/5/2010	17:00:00	Other	Grass	1200	5000	2000	1000
21/5/2010	18:00:00	Simple	Synthetic	1400	5000	2000	1000
21/5/2010	19:00:00	Other	Synthetic	2000	5000	2000	1000
21/5/2010	20:00:00	Cup	Other	1600	5000	2000	1000
28/5/2010	11:00:00	Other	Synthetic	1400	5000	2000	1000
28/5/2010	12:00:00	Simple	Sand	1800	5000	2000	1000
28/5/2010	13:00:00	Other	Grass	1200	5000	2000	1000
28/5/2010	14:00:00	Cup	Synthetic	1200	5000	2000	1000
28/5/2010	15:00:00	Simple	Synthetic	1800	5000	2000	1000
28/5/2010	16:00:00	Cup	Sand	1600	5000	2000	1000
28/5/2010	17:00:00	Cup	Grass	1200	5000	2000	1000
28/5/2010	18:00:00	Simple	Sand	1400	5000	2000	1000
28/5/2010	19:00:00	Simple	Sand	2000	5000	2000	1000
28/5/2010	20:00:00	Other	Other	1200	5000	2000	1000
4/6/2010	11:00:00	Simple	Other	1400	5000	2000	1000
4/6/2010	12:00:00	Cup	Sand	2000	5000	2000	1000
4/6/2010	13:00:00	Other	Sand	2000	5000	2000	1000
4/6/2010	14:00:00	Other	Grass	1600	5000	2000	1000
4/6/2010	15:00:00	Cup	Synthetic	1600	5000	2000	1000
4/6/2010	16:00:00	Other	Grass	1800	5000	2000	1000
4/6/2010	17:00:00	Other	Synthetic	2000	5000	2000	1000
4/6/2010	18:00:00	Simple	Sand	1600	5000	2000	1000
4/6/2010	19:00:00	Cup	Other	2000	5000	2000	1000
4/6/2010	20:00:00	Cup	Other	1600	5000	2000	1000
11/6/2010	11:00:00	Other	Synthetic	2000	5000	2000	1000
11/6/2010	12:00:00	Simple	Synthetic	1400	5000	2000	1000
11/6/2010	13:00:00	Cup	Synthetic	1400	5000	2000	1000
11/6/2010	14:00:00	Cup	Grass	1200	5000	2000	1000
11/6/2010	15:00:00	Simple	Sand	2000	5000	2000	1000
11/6/2010	16:00:00	Cup	Sand	1400	5000	2000	1000
11/6/2010	17:00:00	Simple	Grass	1600	5000	2000	1000
11/6/2010	18:00:00	Simple	Sand	1600	5000	2000	1000
11/6/2010	19:00:00	Simple	Synthetic	1800	5000	2000	1000
11/6/2010	20:00:00	Cup	Sand	2000	5000	2000	1000
18/6/2010	11:00:00	Simple	Other	1600	5000	2000	1000
18/6/2010	12:00:00	Other	Grass	2000	5000	2000	1000
18/6/2010	13:00:00	Other	Grass	1200	5000	2000	1000
18/6/2010	14:00:00	Simple	Synthetic	1600	5000	2000	1000
18/6/2010	15:00:00	Cup	Other	1800	5000	2000	1000
18/6/2010	16:00:00	Simple	Grass	1200	5000	2000	1000
18/6/2010	17:00:00	Simple	Sand	1600	5000	2000	1000
18/6/2010	18:00:00	Cup	Synthetic	1400	5000	2000	1000
18/6/2010	19:00:00	Simple	Sand	1400	5000	2000	1000
18/6/2010	20:00:00	Simple	Other	2000	5000	2000	1000
25/6/2010	11:00:00	Simple	Synthetic	1800	5000	2000	1000
25/6/2010	12:00:00	Simple	Other	1800	5000	2000	1000
25/6/2010	13:00:00	Cup	Other	1800	5000	2000	1000
25/6/2010	14:00:00	Other	Synthetic	1800	5000	2000	1000
25/6/2010	15:00:00	Simple	Sand	1800	5000	2000	1000
25/6/2010	16:00:00	Other	Other	2000	5000	2000	1000
25/6/2010	17:00:00	Cup	Grass	1200	5000	2000	1000
25/6/2010	18:00:00	Simple	Grass	1800	5000	2000	1000
25/6/2010	19:00:00	Other	Sand	1800	5000	2000	1000
25/6/2010	20:00:00	Cup	Sand	1600	5000	2000	1000
2/7/2010	11:00:00	Cup	Other	1600	5000	2000	1000
2/7/2010	12:00:00	Cup	Synthetic	1400	5000	2000	1000
2/7/2010	13:00:00	Other	Grass	1800	5000	2000	1000
2/7/2010	14:00:00	Other	Other	1800	5000	2000	1000
2/7/2010	15:00:00	Simple	Synthetic	1600	5000	2000	1000
2/7/2010	16:00:00	Simple	Synthetic	2000	5000	2000	1000
2/7/2010	17:00:00	Simple	Grass	1600	5000	2000	1000
2/7/2010	18:00:00	Other	Synthetic	1200	5000	2000	1000
2/7/2010	19:00:00	Simple	Sand	1200	5000	2000	1000
2/7/2010	20:00:00	Simple	Sand	1200	5000	2000	1000
9/7/2010	11:00:00	Simple	Grass	1800	5000	2000	1000
9/7/2010	12:00:00	Cup	Sand	1200	5000	2000	1000
9/7/2010	13:00:00	Cup	Grass	1400	5000	2000	1000
9/7/2010	14:00:00	Simple	Other	1800	5000	2000	1000
9/7/2010	15:00:00	Other	Sand	1400	5000	2000	1000
9/7/2010	16:00:00	Other	Grass	1200	5000	2000	1000
9/7/2010	17:00:00	Simple	Grass	2000	5000	2000	1000
9/7/2010	18:00:00	Other	Other	2000	5000	2000	1000
9/7/2010	19:00:00	Cup	Grass	1600	5000	2000	1000
9/7/2010	20:00:00	Other	Sand	1400	5000	2000	1000
16/7/2010	11:00:00	Other	Grass	1800	5000	2000	1000
16/7/2010	12:00:00	Simple	Grass	1800	5000	2000	1000
16/7/2010	13:00:00	Simple	Other	1800	5000	2000	1000
16/7/2010	14:00:00	Simple	Synthetic	1800	5000	2000	1000
16/7/2010	15:00:00	Cup	Grass	2000	5000	2000	1000
16/7/2010	16:00:00	Other	Synthetic	1600	5000	2000	1000
16/7/2010	17:00:00	Other	Synthetic	1800	5000	2000	1000
16/7/2010	18:00:00	Cup	Grass	2000	5000	2000	1000
16/7/2010	19:00:00	Cup	Grass	1400	5000	2000	1000
16/7/2010	20:00:00	Simple	Other	2000	5000	2000	1000
23/7/2010	11:00:00	Cup	Other	2000	5000	2000	1000
23/7/2010	12:00:00	Other	Synthetic	1200	5000	2000	1000
23/7/2010	13:00:00	Simple	Sand	1800	5000	2000	1000
23/7/2010	14:00:00	Other	Sand	1600	5000	2000	1000
23/7/2010	15:00:00	Simple	Sand	1200	5000	2000	1000
23/7/2010	16:00:00	Cup	Sand	1800	5000	2000	1000
23/7/2010	17:00:00	Cup	Synthetic	1200	5000	2000	1000
23/7/2010	18:00:00	Other	Sand	1400	5000	2000	1000
23/7/2010	19:00:00	Simple	Sand	1800	5000	2000	1000
23/7/2010	20:00:00	Simple	Sand	1400	5000	2000	1000
30/7/2010	11:00:00	Other	Sand	1200	5000	2000	1000
30/7/2010	12:00:00	Simple	Synthetic	1200	5000	2000	1000
30/7/2010	13:00:00	Other	Sand	1200	5000	2000	1000
30/7/2010	14:00:00	Cup	Other	1800	5000	2000	1000
30/7/2010	15:00:00	Cup	Grass	1200	5000	2000	1000
30/7/2010	16:00:00	Simple	Sand	1400	5000	2000	1000
30/7/2010	17:00:00	Other	Synthetic	1800	5000	2000	1000
30/7/2010	18:00:00	Other	Synthetic	1800	5000	2000	1000
30/7/2010	19:00:00	Cup	Synthetic	1600	5000	2000	1000
30/7/2010	20:00:00	Simple	Other	2000	5000	2000	1000
6/8/2010	11:00:00	Simple	Synthetic	1800	5000	2000	1000
6/8/2010	12:00:00	Simple	Grass	1600	5000	2000	1000
6/8/2010	13:00:00	Simple	Grass	2000	5000	2000	1000
6/8/2010	14:00:00	Other	Sand	1600	5000	2000	1000
6/8/2010	15:00:00	Cup	Other	1600	5000	2000	1000
6/8/2010	16:00:00	Cup	Synthetic	1800	5000	2000	1000
6/8/2010	17:00:00	Simple	Sand	1200	5000	2000	1000
6/8/2010	18:00:00	Other	Sand	2000	5000	2000	1000
6/8/2010	19:00:00	Cup	Synthetic	2000	5000	2000	1000
6/8/2010	20:00:00	Other	Synthetic	1200	5000	2000	1000
13/8/2010	11:00:00	Other	Grass	1600	5000	2000	1000
13/8/2010	12:00:00	Other	Grass	2000	5000	2000	1000
13/8/2010	13:00:00	Simple	Sand	1800	5000	2000	1000
13/8/2010	14:00:00	Cup	Other	1200	5000	2000	1000
13/8/2010	15:00:00	Cup	Sand	2000	5000	2000	1000
13/8/2010	16:00:00	Simple	Sand	1400	5000	2000	1000
13/8/2010	17:00:00	Simple	Other	2000	5000	2000	1000
13/8/2010	18:00:00	Simple	Synthetic	2000	5000	2000	1000
13/8/2010	19:00:00	Cup	Other	1600	5000	2000	1000
13/8/2010	20:00:00	Cup	Sand	1400	5000	2000	1000
20/8/2010	11:00:00	Cup	Synthetic	1800	5000	2000	1000
20/8/2010	12:00:00	Cup	Grass	1800	5000	2000	1000
20/8/2010	13:00:00	Cup	Other	1600	5000	2000	1000
20/8/2010	14:00:00	Cup	Other	1400	5000	2000	1000
20/8/2010	15:00:00	Simple	Synthetic	2000	5000	2000	1000
20/8/2010	16:00:00	Cup	Sand	2000	5000	2000	1000
20/8/2010	17:00:00	Other	Other	1600	5000	2000	1000
20/8/2010	18:00:00	Cup	Sand	2000	5000	2000	1000
20/8/2010	19:00:00	Cup	Other	1400	5000	2000	1000
20/8/2010	20:00:00	Other	Synthetic	1200	5000	2000	1000
27/8/2010	11:00:00	Other	Synthetic	1800	5000	2000	1000
27/8/2010	12:00:00	Simple	Synthetic	2000	5000	2000	1000
27/8/2010	13:00:00	Simple	Synthetic	1400	5000	2000	1000
27/8/2010	14:00:00	Other	Other	1800	5000	2000	1000
27/8/2010	15:00:00	Simple	Sand	1600	5000	2000	1000
27/8/2010	16:00:00	Simple	Other	2000	5000	2000	1000
27/8/2010	17:00:00	Simple	Grass	1800	5000	2000	1000
27/8/2010	18:00:00	Cup	Other	2000	5000	2000	1000
27/8/2010	19:00:00	Other	Sand	1200	5000	2000	1000
27/8/2010	20:00:00	Cup	Grass	1200	5000	2000	1000
3/9/2010	11:00:00	Simple	Sand	1200	5000	2000	1000
3/9/2010	12:00:00	Other	Synthetic	1400	5000	2000	1000
3/9/2010	13:00:00	Cup	Other	2000	5000	2000	1000
3/9/2010	14:00:00	Simple	Grass	1800	5000	2000	1000
3/9/2010	15:00:00	Other	Sand	1200	5000	2000	1000
3/9/2010	16:00:00	Other	Grass	1400	5000	2000	1000
3/9/2010	17:00:00	Cup	Synthetic	2000	5000	2000	1000
3/9/2010	18:00:00	Cup	Grass	1400	5000	2000	1000
3/9/2010	19:00:00	Simple	Grass	1600	5000	2000	1000
3/9/2010	20:00:00	Other	Sand	2000	5000	2000	1000
10/9/2010	11:00:00	Other	Other	1800	5000	2000	1000
10/9/2010	12:00:00	Cup	Synthetic	1200	5000	2000	1000
10/9/2010	13:00:00	Cup	Sand	1800	5000	2000	1000
10/9/2010	14:00:00	Cup	Sand	1200	5000	2000	1000
10/9/2010	15:00:00	Simple	Other	1400	5000	2000	1000
10/9/2010	16:00:00	Other	Other	1200	5000	2000	1000
10/9/2010	17:00:00	Simple	Sand	1200	5000	2000	1000
10/9/2010	18:00:00	Cup	Grass	1400	5000	2000	1000
10/9/2010	19:00:00	Simple	Synthetic	1200	5000	2000	1000
10/9/2010	20:00:00	Cup	Synthetic	1600	5000	2000	1000
17/9/2010	11:00:00	Simple	Synthetic	1200	5000	2000	1000
17/9/2010	12:00:00	Cup	Synthetic	2000	5000	2000	1000
17/9/2010	13:00:00	Other	Grass	1800	5000	2000	1000
17/9/2010	14:00:00	Cup	Synthetic	1800	5000	2000	1000
17/9/2010	15:00:00	Cup	Grass	1600	5000	2000	1000
17/9/2010	16:00:00	Simple	Grass	1800	5000	2000	1000
17/9/2010	17:00:00	Other	Grass	1800	5000	2000	1000
17/9/2010	18:00:00	Cup	Sand	2000	5000	2000	1000
17/9/2010	19:00:00	Cup	Sand	1600	5000	2000	1000
17/9/2010	20:00:00	Simple	Synthetic	1600	5000	2000	1000
24/9/2010	11:00:00	Cup	Synthetic	1800	5000	2000	1000
24/9/2010	12:00:00	Cup	Sand	1400	5000	2000	1000
24/9/2010	13:00:00	Other	Other	1400	5000	2000	1000
24/9/2010	14:00:00	Cup	Grass	1600	5000	2000	1000
24/9/2010	15:00:00	Simple	Other	1400	5000	2000	1000
24/9/2010	16:00:00	Cup	Grass	1400	5000	2000	1000
24/9/2010	17:00:00	Simple	Synthetic	1800	5000	2000	1000
24/9/2010	18:00:00	Cup	Grass	1800	5000	2000	1000
24/9/2010	19:00:00	Cup	Synthetic	1800	5000	2000	1000
24/9/2010	20:00:00	Cup	Grass	1600	5000	2000	1000
1/10/2010	11:00:00	Simple	Grass	1400	5000	2000	1000
1/10/2010	12:00:00	Simple	Grass	1400	5000	2000	1000
1/10/2010	13:00:00	Cup	Other	1200	5000	2000	1000
1/10/2010	14:00:00	Simple	Synthetic	1600	5000	2000	1000
1/10/2010	15:00:00	Other	Sand	1400	5000	2000	1000
1/10/2010	16:00:00	Other	Sand	2000	5000	2000	1000
1/10/2010	17:00:00	Other	Grass	1200	5000	2000	1000
1/10/2010	18:00:00	Simple	Grass	1600	5000	2000	1000
1/10/2010	19:00:00	Simple	Other	1800	5000	2000	1000
1/10/2010	20:00:00	Other	Synthetic	1400	5000	2000	1000
8/10/2010	11:00:00	Cup	Sand	1200	5000	2000	1000
8/10/2010	12:00:00	Cup	Grass	1400	5000	2000	1000
8/10/2010	13:00:00	Simple	Sand	1800	5000	2000	1000
8/10/2010	14:00:00	Simple	Grass	1400	5000	2000	1000
8/10/2010	15:00:00	Cup	Synthetic	1800	5000	2000	1000
8/10/2010	16:00:00	Cup	Other	1400	5000	2000	1000
8/10/2010	17:00:00	Other	Synthetic	1400	5000	2000	1000
8/10/2010	18:00:00	Other	Grass	1400	5000	2000	1000
8/10/2010	19:00:00	Simple	Sand	1200	5000	2000	1000
8/10/2010	20:00:00	Cup	Grass	1800	5000	2000	1000
15/10/2010	11:00:00	Other	Other	1200	5000	2000	1000
15/10/2010	12:00:00	Other	Grass	1800	5000	2000	1000
15/10/2010	13:00:00	Cup	Sand	1200	5000	2000	1000
15/10/2010	14:00:00	Other	Synthetic	2000	5000	2000	1000
15/10/2010	15:00:00	Other	Synthetic	1600	5000	2000	1000
15/10/2010	16:00:00	Simple	Synthetic	2000	5000	2000	1000
15/10/2010	17:00:00	Other	Other	2000	5000	2000	1000
15/10/2010	18:00:00	Cup	Other	2000	5000	2000	1000
15/10/2010	19:00:00	Other	Synthetic	1600	5000	2000	1000
15/10/2010	20:00:00	Other	Grass	1600	5000	2000	1000
22/10/2010	11:00:00	Simple	Sand	1800	5000	2000	1000
22/10/2010	12:00:00	Cup	Grass	1400	5000	2000	1000
22/10/2010	13:00:00	Simple	Synthetic	1800	5000	2000	1000
22/10/2010	14:00:00	Cup	Other	1600	5000	2000	1000
22/10/2010	15:00:00	Simple	Synthetic	1400	5000	2000	1000
22/10/2010	16:00:00	Other	Synthetic	1200	5000	2000	1000
22/10/2010	17:00:00	Cup	Sand	1400	5000	2000	1000
22/10/2010	18:00:00	Cup	Grass	2000	5000	2000	1000
22/10/2010	19:00:00	Simple	Other	1600	5000	2000	1000
22/10/2010	20:00:00	Simple	Grass	1200	5000	2000	1000
29/10/2010	11:00:00	Simple	Synthetic	2000	5000	2000	1000
